Corrida,Beneficio,PromedioTiempoEnCola,TasaDeAtencion,PorcentajeTiempoLibre,UtilizacionEmpleada
1,123900.0000,3.4811,16.1250,19.21,15.79
2,111300.0000,0.9613,14.6250,25.60,6.89
3,98100.0000,0.8489,12.8750,49.67,6.32
4,100950.0000,0.8103,12.8750,39.41,6.62
5,111750.0000,2.9376,14.2500,23.26,15.38
6,99300.0000,1.6769,13.5000,32.96,8.88
7,120900.0000,1.5499,15.6250,29.44,8.63
8,113700.0000,3.1413,15.3750,26.57,14.60
9,99150.0000,1.2042,12.8750,31.78,7.78
10,110850.0000,1.5070,14.8750,25.23,9.02
11,116250.0000,0.9103,14.7500,39.82,6.17
12,110250.0000,1.1525,14.6250,28.32,7.66
13,118050.0000,1.0793,14.8750,34.69,7.00
14,103800.0000,1.8809,13.6250,27.59,11.32
15,105300.0000,0.6143,13.8750,36.17,5.40
16,130950.0000,2.1424,16.7500,18.32,10.61
17,115350.0000,1.0508,15.6250,27.25,6.83
18,115200.0000,3.0655,14.7500,17.64,15.67
19,107100.0000,0.8212,13.6250,35.30,6.44
20,130500.0000,3.4535,16.7500,14.92,15.43
21,118350.0000,1.9756,14.0000,26.71,11.64
22,107250.0000,2.4156,14.5000,29.31,12.96
23,111900.0000,0.6770,13.5000,39.35,5.71
24,104250.0000,0.9093,13.2500,33.18,7.15
25,109800.0000,1.6452,15.8750,30.25,8.21
26,121200.0000,1.5673,16.3750,30.81,8.32
27,113550.0000,1.3510,15.2500,33.43,7.95
28,102000.0000,1.0082,14.1250,29.32,7.29
29,109050.0000,8.9246,14.5000,13.88,36.79
30,118200.0000,1.1502,15.3750,36.77,6.97
31,97200.0000,1.3831,12.7500,31.41,9.74
32,109650.0000,6.2568,14.2500,21.91,24.51
33,94350.0000,2.2702,13.0000,26.39,9.03
34,114150.0000,3.1555,15.1250,19.10,15.43
35,131100.0000,1.9105,16.5000,20.15,9.69
36,111150.0000,1.2748,14.5000,33.27,8.18
37,104700.0000,1.0859,13.8750,36.87,7.44
38,124950.0000,3.9945,16.3750,9.57,17.96
39,105900.0000,1.0310,14.1250,31.13,7.25
40,119850.0000,1.0132,15.5000,32.89,6.50
41,102750.0000,0.8297,14.5000,33.04,6.22
42,109800.0000,3.3647,13.7500,15.05,13.74
43,91950.0000,0.8795,12.3750,35.06,7.30
44,94200.0000,2.5015,12.3750,27.98,15.46
45,111000.0000,0.8285,14.5000,37.85,5.93
46,107250.0000,2.3320,14.0000,26.00,13.12
47,105300.0000,1.1691,14.2500,33.30,7.75
48,116400.0000,1.1093,14.7500,33.61,7.23
49,111450.0000,1.5875,13.6250,25.64,10.20
50,129000.0000,1.0796,17.0000,29.83,6.24
51,144150.0000,3.0265,17.6250,15.34,13.19
52,102750.0000,1.4866,12.7500,37.92,9.73
53,92550.0000,0.5335,12.7500,46.87,5.07
54,124200.0000,0.9861,16.1250,31.58,6.20
55,151500.0000,8.8433,18.8750,11.11,30.83
56,109950.0000,2.8649,16.2500,20.23,13.56
57,99750.0000,0.7657,13.8750,29.56,6.32
58,106050.0000,0.9940,14.7500,29.71,6.95
59,96450.0000,4.2446,13.8750,19.99,21.85
60,126300.0000,1.4629,16.0000,24.67,8.14
61,98400.0000,0.9337,12.8750,37.29,6.92
62,109200.0000,0.4515,13.6250,38.10,4.71
63,112050.0000,1.1646,14.3750,30.07,7.75
64,118800.0000,1.6837,14.6250,23.83,9.76
65,105000.0000,2.6719,12.7500,24.66,14.39
66,103350.0000,0.7221,13.6250,37.84,5.87
67,111450.0000,0.7275,14.5000,31.09,5.85
68,130800.0000,2.2710,15.8750,17.42,11.03
69,106800.0000,1.4680,14.5000,27.42,9.10
70,99450.0000,0.5530,13.1250,50.74,4.84
71,108600.0000,1.2672,15.5000,32.78,7.56
72,112950.0000,0.8369,14.5000,39.94,5.81
73,115050.0000,7.7430,15.7500,16.95,31.22
74,110700.0000,1.1226,15.3750,40.86,6.71
75,130800.0000,1.3944,16.6250,29.18,7.58
76,123450.0000,2.6445,15.3750,25.36,12.98
77,118200.0000,4.2129,15.8750,15.62,19.09
78,95400.0000,0.8334,12.2500,40.67,6.93
79,109050.0000,1.9107,14.6250,30.58,10.75
80,123450.0000,4.2148,16.7500,9.85,17.78
81,92100.0000,1.3568,13.1250,31.63,9.35
82,130050.0000,1.8449,16.1250,17.00,9.04
83,126300.0000,2.4029,16.2500,19.35,10.96
84,127500.0000,1.2549,15.8750,22.42,7.70
85,117600.0000,3.7391,15.0000,23.68,18.04
86,121650.0000,3.5692,16.0000,18.16,16.42
87,111600.0000,0.8601,14.7500,33.54,6.17
88,118050.0000,2.1072,15.6250,21.46,11.12
89,129150.0000,4.4602,17.3750,17.38,18.25
90,98850.0000,0.9710,13.0000,30.15,7.75
91,94200.0000,0.4491,12.1250,49.14,4.74
92,108750.0000,2.2641,13.8750,21.39,13.10
93,109650.0000,1.1095,14.5000,28.01,7.44
94,114150.0000,1.2754,14.7500,22.37,8.35
95,113700.0000,1.5654,15.0000,26.28,9.00
96,94050.0000,1.0254,12.6250,34.48,7.64
97,117150.0000,0.9212,14.7500,31.79,6.54
98,125550.0000,2.3735,16.3750,18.75,11.52
99,132900.0000,1.8474,17.3750,26.19,8.94
100,113550.0000,2.5649,14.8750,21.54,13.54
101,106950.0000,0.9983,14.1250,36.94,6.83
102,96750.0000,1.6688,13.1250,30.64,10.46
103,108450.0000,1.5343,13.5000,36.08,9.46
104,126300.0000,3.6091,17.0000,17.91,15.66
105,113850.0000,3.1140,14.7500,23.20,15.80
106,116100.0000,3.7987,14.7500,23.09,18.50
107,115200.0000,2.8717,15.2500,25.14,14.24
108,106800.0000,1.0202,13.7500,31.26,7.47
109,109950.0000,0.8657,15.2500,31.49,6.10
110,119700.0000,1.1498,15.8750,30.98,6.95
111,112800.0000,2.5129,14.5000,18.87,13.78
112,122400.0000,1.0389,16.2500,32.85,6.37
113,114000.0000,0.6768,14.6250,31.47,5.51
114,101400.0000,0.9509,14.1250,31.74,6.95
115,117000.0000,1.6899,15.6250,17.35,9.58
116,118050.0000,0.9590,14.3750,43.10,6.35
117,108300.0000,2.0642,15.2500,20.49,11.13
118,123600.0000,1.3287,15.5000,25.93,7.93
119,108600.0000,1.2527,14.3750,38.62,7.76
120,93000.0000,1.3717,12.6250,27.85,9.60
121,106650.0000,0.6378,14.3750,37.36,5.24
122,123300.0000,1.2700,15.3750,34.66,7.15
123,134100.0000,3.9086,16.6250,15.64,16.79
124,97350.0000,0.8150,13.7500,38.94,6.23
125,121650.0000,3.4114,15.1250,21.78,16.66
126,103950.0000,2.0479,13.7500,29.96,11.90
127,110700.0000,1.7771,14.7500,28.41,9.70
128,119250.0000,3.5145,15.7500,19.39,16.46
129,125100.0000,2.3996,16.3750,24.07,11.55
130,117300.0000,2.7091,15.0000,22.94,13.93
131,118500.0000,4.1125,15.8750,21.09,18.54
132,117150.0000,2.2815,15.2500,23.93,11.91
133,97050.0000,1.2849,12.3750,30.68,9.49
134,107700.0000,0.6338,13.8750,37.94,5.49
135,113250.0000,1.6284,14.2500,32.70,9.67
136,114300.0000,1.6821,14.8750,19.77,10.03
137,126450.0000,2.8259,16.2500,19.59,13.42
138,115950.0000,3.9754,15.1250,17.16,18.52
139,131700.0000,1.8523,17.1250,19.22,9.29
140,120450.0000,2.3166,15.1250,17.29,12.47
141,105150.0000,0.6550,14.1250,42.56,5.10
142,121650.0000,1.1503,15.7500,28.78,6.83
143,117750.0000,1.7486,16.1250,26.64,9.23
144,102150.0000,1.0490,15.3750,33.42,6.64
145,106950.0000,3.1144,14.7500,29.95,15.57
146,125400.0000,1.2915,16.6250,33.22,7.08
147,120600.0000,1.9982,15.1250,27.72,10.78
148,117300.0000,1.4116,15.8750,32.84,7.75
